Floyd and Purcell Beauty Salon,706 Bentley Ave.,1949,"28.546836, -81.38941"
Freddie L. Maxwell (notary public),737 W. Carter St.,1949,"28.534881440758866, -81.39066008120484"
Holmes' Wood Yard,900 W. Carter St.,1949,"28.534636403042427, -81.39210605538956"
Merritt's Pool Room,516 W. Church St.,1949,"28.540031, -81.385358"
Bill's Shoe Rebuilder & Walker's Radio Service,525 W. Church St.,1949,"28.540286554753333, -81.38546515610167"
Washington's Radio Service,525 W. Church St.,1949,"28.540286554753333, -81.38546515610167"
O. A. Beacham (notary public),539 W. Church St.,1949,"28.54029497983564, -81.38565796899074"
John's Pool Room,563 W. Church St.,1949,"28.540312429998085, -81.38600147023028"
The Central Florida Colored Business School,573 W. Church St.,1949,"28.540322655496144, -81.38621169073011"
L. A. Braboy&comma; D.D.S.,575 W. Church St.,1949,"28.54029523155405, -81.3862684899317"
Central Florida Colored Business School,575 W. Church St.,1949,"28.54029523155405, -81.3862684899317"
Imperial Mutual Hospitalization Protection Asso.,589 1/2 W. Church St.,1949,"28.540322606796128, -81.38630641017403"
Coleman's Radio Service,606 W. Church St.,1949,"28.539856465938254, -81.38729352227247"
Paradise Smoke Shoppe,608 W. Church St.,1949,"28.53985557263614, -81.38731770552224"
Fair & Square Auto Co.,909 W. Church,1949,"28.54033508251212, -81.39240020119736"
Faith Holy Temple,114 N. Division St.,1949,"28.543323905936663, -81.38480734816575"
Ed's Place,126 S. Division St.,1949,"28.54068593871623, -81.3850986864127"
Central Florida Times Press,130 S. Division St.,1949,"28.540665593930257, -81.38510892978262"
Griffen Park Sweet Shop,723 S. Division St.,1949,"28.534125842665425, -81.38464175861769"
Buddie's Auto Parts Shop,745 Easy St.,1949,"28.533099529188956, -81.39628758248567"
Curfy's Wood Yard,108 Garden St.,1949,"28.544198651282326, -81.39069617889592"
North End Beer Garden and Lunch,235 N. Hughey St.,1949,"28.545889775717857, -81.38278963222967"
Zimmerman's Coffee Shop,500 W. Jackson St.,1949,"28.538985850526622, -81.38541150529484"
Sweetie's Beauty Box,205 W. Jefferson St.,1949,"28.54477530627035, -81.38187707395775"
Croom's Kindergarten,609 W. Jefferson St.,1949,"28.544930805719368, -81.38730113657442"
Walker's Beer Garden,220 Lincoln St.,1949,"28.544997338626654, -81.38815038127002"
