Fosgates Markets Inc.,63 W. Amelia,1931,"28.54986897571921, -81.38061166296482"
Open Air Poultry Market,68 W. Amelia,1931,"28.549262199999575, -81.38021399180005"
Orlando Wholesale Co. (grocers),100 W. Amelia,1931,"28.549265412139356, -81.38106248650732"
Orlando Produce Co.,100 W. Amelia,1931,"28.549265412139356, -81.38106248650732"
Standard Garage,108 W. Amelia,1931,"28.54927962427724, -81.38113999364649"
Minter's Service Station,201 W. Amelia,1931,"28.549411799986057, -81.3819566629648"
Meiner's Grocery,202 W. Amelia,1931,"28.54941089998613, -81.38203304947046"
H.A. Ballou (plumber),202 W. Amelia,1931,"28.54941089998613, -81.38203304947046"
Hewett Well Driving & Machinery,1015 W. Amelia,1931,"28.54960504846969, -81.39406639180001"
J.J. Caldwell Sheet Metal Works,322 America,1931,"28.53395770720952, -81.38226236098323"
Sun Oil Co. (filling station),1221 Atlanta Ave.,1931,"28.527130675728287, -81.38269178990024"
Saunders Independent Oil Co. (filling station),1251 Atlanta Ave.,1931,"28.526893523168813, -81.3826771610652"
Certified Sales & Service Corp. (millwork),1307 Atlanta,1931,"28.526302175728667, -81.38265543223025"
Deeb's Grocery,818 W. Carter,1931,"28.534630458584886, -81.3917948018946"
John's Market,908 Carter,1931,"28.534611148427246, -81.392292873654"
Seaboard Air Line Railroad,61 W. Central,1931,"28.542038570676443, -81.3810153734409"
Seaboard Oil Co. Station (filling station),103 W. Central,1931,"28.54212473130828, -81.38096236536506"
Dale Foster Inc. Service Station,104 W. Central,1931,"28.54197146928134, -81.38113129604538"
Miller O. Phillps Inc. (automobile dealer),106 W. Central,1931,"28.541970669280875, -81.38113516721036"
Fariss & Fariss (automobile dealer),115 W. Central Ave.,1931,"28.542122531308603, -81.38107050094753"
Florida Tire Co.,118 W. Central Ave.,1931,"28.542098118249214, -81.38123319604543"
Orlando Sign Studio,126 W. Central,1931,"28.541974094210243, -81.3813338113856"
Gulf Refining Co. (filling station),137 W. Central Ave.,1931,"28.542252293930076, -81.38140262978261"
Dean Reynolds Co. (automobile dealer),138 W. Central Ave.,1931,"28.54196376927784, -81.38138385187018"
Orlando Glass Co.,220 W. Central,1931,"28.541924057074954, -81.38217246230825"
Carmichael & Johnson (filling station; tires),300 W. Central,1931,"28.541898818868944, -81.38315346536506"
Auto Supply Company,310 W. Central,1931,"28.541934643802172, -81.3833323383753"
Al Hupple (shock absorbers; batteries),333 W. Central,1931,"28.54214656776821, -81.3841924065393"
Orlando Gear & Parts (automobile equipment),405 W. Central,1931,"28.54216403328088, -81.38419413785844"
Hotel Roberts,409 W. Central,1931,"28.542175425549036, -81.38431036106479"
Leonardy's Cleaners,418 W. Central,1931,"28.54182725055812, -81.3845265610649"
Central Pharmacy,429 W. Central,1931,"28.54233965042045, -81.38463766106487"
Central Soda Fountain,429 W. Central,1931,"28.54233965042045, -81.38463766106487"
Nash Sales & Service (automobile dealer),447 W. Central,1931,"28.54232050062098, -81.38476688989991"
