Soowal's Cleaners,41 W. Amelia,1951,"28.549608172720387, -81.38007903412958"
Southern Kar Vak (electric vacuum cleaners),43 W. Amelia,1951,"28.54938615145152, -81.38009906296482"
Norman Warren (sign and card writer),48 Amelia Ave.,1951,"28.549292313578093, -81.37991261994418"
Chamberlin & Goforth Paint Store,58 W. Amelia Ave.,1951,"28.549299348551955, -81.38006614947047"
Thomas & Howard Co. (grocers-wholesale),63 W. Amelia Ave.,1951,"28.54986897571921, -81.38061166296482"
Reich Motor Sales,101 W. Amelia,1951,"28.549460745572276, -81.3808309764592"
T. Frank Minter (gasoline station),135 W. Amelia Ave.,1951,"28.549582696984036, -81.38153156296485"
Walter I Martin (gasoline station),201 W. Amelia Ave.,1951,"28.549411799986057, -81.3819566629648"
J. E. Russell Grocery,202 W. Amelia Ave.,1951,"28.54941089998613, -81.38203304947046"
Stewart D. Shirk (cabinet maker),500 W. Amelia,1951,"28.54962337571945, -81.38556040529438"
Community Church of God,501 W. Amelia,1951,"28.549656048455944, -81.38563514947047"
Jewell Charm (beauty shop),506 W. Amelia,1951,"28.549643824211806, -81.38558956296481"
Chas E. Hawkins (painters and decorators),615 W. Amelia Ave.,1951,"28.54985217571929, -81.3875392341296"
Savelite Co. (venetian blinds),742 W. Amelia Ave.,1951,"28.549097148606325, -81.39109379180005"
Mrs. Rose B. Caflisch (produce),935 W. Amelia Ave.,1951,"28.55002639993071, -81.39293093412958"
Cannon Lumber Co.,1000 W. Amelia Ave.,1951,"28.549149575719632, -81.39353426296483"
Jarco Corp (contractor),1025 W. Amelia Ave.,1951,"28.54937854853061, -81.39466336296482"
Caldwell Roofing & Sheet Metal Works,320-24 W. America,1951,"28.53395770720952, -81.38226236098323"
Geo T. Floyd (nurseryman),402 America,1951,"28.53405027085646, -81.38284846536514"
Mrs. Susie M. Hoffman,712 Atlanta Ave.,1951,"28.530111205701065, -81.38373006106517"
Evangelistic Centre,718-20 Atlanta Ave.,1951,"28.53007085371981, -81.3838262205805"
Geo L. Ayers Jr. (neon signs),730 Atlanta Ave.,1951,"28.5300251017275, -81.38377207640531"
Don Gunnison (sign painter and manufacturer),730 Atlanta Ave.,1951,"28.5300251017275, -81.38377207640531"
Jack Stevens (contractor),810 Atlanta Ave.,1951,"28.529781323683885, -81.38372516106513"
Wm C Murray (contractor),816 Atlanta Ave.,1951,"28.529727519579122, -81.38369267456007"
W C Champion Co Inc (fruit buyers&comma; packers and shipping),1215 Atlanta Ave.,1951,"28.527175875728183, -81.3826548322302"
Orlando Concrete Products Inc.,1221 Atlanta,1951,"28.527130675728287, -81.38269178990024"
Shell Oil Co.,1245 Atlanta Ave.,1951,"28.526945249452826, -81.3826457745601"
Louis L Jacob Inc (fruit buyers&comma; packers and shipping),1251 Atlanta Ave.,1951,"28.526893523168813, -81.3826771610652"
Lux Steam (house cleaner),1424 Atlanta Ave.,1951,"28.524108928790636, -81.38333196106531"
Insul-Mastic Co of Central Fla Inc (waterproofing),1424 Atlanta Ave.,1951,"28.524108928790636, -81.38333196106531"
Acme Block Co.,1433 Atlanta Ave.,1951,"28.52470070220657, -81.38263903223029"
Leslie M Taylor (junk dealer),1508 Atlanta Ave.,1951,"28.52384667573006, -81.38350203223027"
Williams H J Dunbrik Co. (builders supplies),1518 Atlanta Ave.,1951,"28.524183828777343, -81.38366073223021"
Builders Supply Co Inc,1600 Atlanta Ave.,1951,"28.523573849153077, -81.38325620339525"
Profile Supply Co,1601 Atlanta Ave.,1951,"28.52357295546647, -81.38248313223029"
Clayton Construction Co.,1700 Atlanta Ave.,1951,"28.522588302396798, -81.38350646106527"
International Forwarding Co. ,1708 Atlanta Ave.,1951,"28.522483875730725, -81.38350606106533"
Mrs. Irene M. Stringlield (dressmaker),833 Avondale,1951,"28.531358349844993, -81.38712183223006"
Roosevelt Burnette (trucking),908 Bentley Ave.,1951,"28.546575706189522, -81.39262836536504"
Oscar R. Jackson (clergyman),912 Bentley Ave.,1951,"28.546579706189437, -81.39276316536505"
Mrs. Eliz F. Washington (beauty shop),917 Bentley Ave.,1951,"28.546995106170687, -81.39288670094756"
Clarence Jones (trucking),530 Carter,1951,"28.53469988337053, -81.38627849904643"
New Jerusalem Mt. Zion,747 W. Carter St.,1951,"28.53481310538211, -81.39085588244434"
Danl Massey (auto sales),807 Carter,1951,"28.53477015324944, -81.3915906827889"
Saml Shaw (confectioneries-retail),906 Carter,1951,"28.534615111399727, -81.39224550899964"
Luella Nix (restaurant),908 Carter,1951,"28.534611148427246, -81.392292873654"
