Mrs. Virginia Y. Thomas (beauty shop),524 N. Hughey Ave.,1972,"28.549985812107483, -81.3831785"
Scotty's Home Builders Inc.,63 W. Amelia St.,1972,"28.54986897571921, -81.38061166296482"
Budget Office Furniture Co. Inc.,100 W. Amelia St.,1972,"28.549265412139356, -81.38106248650732"
Pollock's Florist,301 W. Amelia St.,1972,"28.55042939989442, -81.38384670529436"
Lucerne Rebekah No. 36,501 W. Amelia Ave.,1972,"28.549656048455944, -81.38563514947047"
P & H Automotive Warehouse Inc.,740 W. Amelia St.,1972,"28.549060724316522, -81.3910079206352"
V E Anderson Mfg Co. (glass dealer),918 W. Amelia St.,1972,"28.549045575719703, -81.39182406296483"
Sechrest Carpet Service,924 W. Amelia St.,1972,"28.549210800004243, -81.39239746296478"
Louisville & Nashville Railroad Co.,1045 W. Amelia St.,1972,"28.54987497571572, -81.39509276106465"
American Furniture Rentals,1216 W. Amelia St.,1972,"28.548958572949736, -81.39582964756977"
Cobb's Beauty Shop,625 W. Anderson St.,1972,"28.536860826502867, -81.38771473222991"
Mrs. Rev. Sallie S. Armstead (clergymen),733 W. Anderson St.,1972,"28.536748223882345, -81.3903583646944"
Church of the Living God,816 W. Anderson St.,1972,"28.536260723925974, -81.39176208248564"
Mount Calvary Baptist Church,1001 W. Anderson St.,1972,"28.53647952390639, -81.3931316646944"
Mrs. Winnie Brown (furnished rooms),1039 W. Anderson St.,1972,"28.536658254834588, -81.39475728248566"
Polar Water Co.,802 Atlanta Ave.,1972,"28.529821775726738, -81.38372556106515"
Luckenback Lift Equipment Co.,812 Atlanta Ave.,1972,"28.529775923682834, -81.38371433223016"
Alco TV,1114 Atlanta Ave.,1972,"28.52859257572738, -81.38388883223014"
B P Oil Corp.,1417 Atlanta Ave.,1972,"28.524649628693645, -81.38249386106533"
Terazzo Contractors Inc.,1419 Atlanta Ave.,1972,"28.524783428669753, -81.38261473223028"
South Chicago Packing Co.,1601 Atlanta Ave.,1972,"28.52357295546647, -81.38248313223029"
Price & Weeks Plastering Inc.,1700 Atlanta Ave.,1972,"28.522588302396798, -81.38350646106527"
Ever-Ready Womans Club,624 Carter St.,1972,"28.534655226927732, -81.3878330329671"
Leroy E. Richardson (real estate),637 Carter St.,1972,"28.53484138209445, -81.38797519003141"
Nix Lunch Room,703 Carter St.,1972,"28.534862589624908, -81.38913658654648"
Colyer's Beauty Salon,802 Carter St.,1972,"28.534634421554873, -81.3914609938052"
Freddie McKay Grocery,921 Carter St.,1972,"28.5347587387588, -81.39283006056573"
Still's Grocery & Market,1001 Carter St.,1972,"28.534769053315394, -81.39320666899047"
Ikes TV Shop,1031 Carter St.,1972,"28.53478094221584, -81.39448664248152"
C G Suarez Food Distributing Co. Inc.,1331 Carter St.,1972,"28.53482733556675, -81.39752023491009"
Washington Shores Association for Recreation,3000 Carter St.,1972,"28.53383696387204, -81.40240530418787"
Domestic Finance Corp.,104 W. Central Blvd.,1972,"28.54197146928134, -81.38113129604538"
Auto Storage,104 1/2 W. Central Blvd.,1972,"28.54197146928134, -81.38113129604538"
University of Central Florida,115 W. Central Blvd.,1972,"28.542122531308603, -81.38107050094753"
Central Street Barain Center,401 W. Central Blvd.,1972,"28.542461471467174, -81.38418493653"
Martin Oil Co.,420 W. Central Blvd.,1972,"28.541808400666973, -81.3845387610649"
Johnny Blackburn's Auto Parts Inc.,433 W. Central Blvd.,1972,"28.542320700621026, -81.38470731873487"
Auto-Lite Service,443 W. Central Blvd.,1972,"28.54231107571978, -81.38474678989989"
H & H Masonry,514 W. Central Blvd.,1972,"28.54160440068553, -81.38552618989988"
Hinely Air Products Inc.,515 W. Central Blvd.,1972,"28.542241125537167, -81.38552166106486"
Bob's Auto Glass & Supply Co.&comma; Inc.,533 W. Central Blvd.,1972,"28.542539400604802, -81.38654546296513"
Lee's Muffler Shop,618 W. Central Blvd.,1972,"28.541722550769986, -81.38784573412995"
Merritt Optical Inc.,623 W. Central Blvd.,1972,"28.542290225531836, -81.38769906296515"
Semco Supplies,701 W. Central Blvd.,1972,"28.54227855081938, -81.38927973412991"
East Coast Bowling & Billiard (supplies),703 W. Central Blvd.,1972,"28.542405750830795, -81.38929336296512"
Midland Distributors Inc.,777 W. Central Blvd.,1972,"28.542894600572815, -81.39040986296509"
Camco Distributing Inc.,800 W. Central Blvd.,1972,"28.541780675723746, -81.39067506296514"
Alley's Cafe,819 W. Central Blvd.,1972,"28.5422872006275, -81.39135146296512"
Lykes Electronics Inc.,822 W. Central Blvd.,1972,"28.54165795060746, -81.39146246296515"
Sunburst Press,823 W. Central Blvd.,1972,"28.54256107572331, -81.39160240529469"
County Health & Welfare Building,832 W. Central Blvd.,1972,"28.541144725737468, -81.39197903413"
Ned Smith Equipment Co.,904 1/2 W. Central Blvd.,1972,"28.541851000666718, -81.3922262341299"
Kimble Used Cars,909 W. Central Blvd.,1972,"28.54225412553834, -81.39238360529471"
Orange Soda Shop,912 W. Central Blvd.,1972,"28.54190880066158, -81.39249369180034"
Specialty Engineering Service Co.,914 W. Central Blvd.,1972,"28.54184910066691, -81.39251019180035"
Dave Miller's Equipment Co.,916 W. Central Blvd.,1972,"28.541849000666993, -81.39255847830604"
Bo Laws Machine & Parts,917 W. Central Blvd.,1972,"28.54224885081684, -81.39275403412988"
Skil Corporation,919 W. Central Blvd.,1972,"28.54216370063855, -81.39272026296514"
Engine Parts Warehouse,925 W. Central Blvd.,1972,"28.54223845081592, -81.39295786296512"
American Cryogenics Inc.,1007 W. Central Ave.,1972,"28.542170825897113, -81.39355226296513"
Bay Development Corp.,1103 W. Central Blvd.,1972,"28.542126100642054, -81.39455069180033"
Salvation Army Thrift Store,1130 W. Central Blvd.,1972,"28.54161425076033, -81.39551646296516"
Dyke Tool & Equipment,1215 W. Central Blvd.,1972,"28.542224900633137, -81.39644013412992"
Case Power & Equipment (agricultural),1216 W. Central Blvd.,1972,"28.541801400671243, -81.39610833412992"
Jo-Jan Bottling Co. Inc.,1310 W. Central Blvd.,1972,"28.541669175723907, -81.39782486296514"
Pro Chemical Products&comma; Inc.,1320 W. Central Blvd.,1972,"28.541681550766363, -81.39815773413007"
Ornamental Iron Works,1340 W. Central Blvd.,1972,"28.541692150767403, -81.39897850529472"
Rev. John L. Wallace (clergyman),1719 W. Central Blvd.,1972,"28.543074550226365, -81.40383626296509"
Modern Machine and Parts Inc.,2009 W. Central Blvd.,1972,"28.54221122554605, -81.40605823412996"
Powell Electronics Florida,2049 W. Central Blvd.,1972,"28.54220780063465, -81.40744706296516"
Stephens Orlando Inc. (florist),2101 W. Central Blvd.,1972,"28.542094200338624, -81.40786923412992"
Solar Industries (stamping works and die cutters),2102 W. Central Blvd.,1972,"28.54166920085077, -81.40772920529471"
Bob Tucker Racing,2104 W. Central Blvd.,1972,"28.541706200679755, -81.40786193412994"
Bill Schafer Signs,2106 W. Central Blvd.,1972,"28.541602750759353, -81.40796883412995"
Marcone Appliance Parts Center,2108 W. Central Blvd.,1972,"28.54168595076675, -81.40807820529471"
Radah International (physicians' and hospital supplies),2111 W. Central Blvd.,1972,"28.542055200648388, -81.40812806296516"
Reliable Glass Co.,2112 W. Central Blvd.,1972,"28.541704000679953, -81.40820436296515"
