Lucas Shoe Shine Parlor,574 W. Church St.,1930-1939,"28.539877293930456, -81.38638165861767"
Albert E. Slauson (contractor),57 W. Colonial,1930-1939,"28.553471895238097, -81.38047876290987"
Amherst Apartments,209 W. Colonial Dr.,1930-1939,"28.553173105893368, -81.38248005861756"
The Boston Grocery,1101 W. Colonial,1930-1939,"28.553048313982245, -81.39465557818926"
Duval & Wade (filling station),200 W. Colonial,1930-1939,"28.553009285135907, -81.38289793035236"
C. Jay Balliet (plumber),312 W. Colonial,1930-1939,"28.55290692193718, -81.38386613998757"
Amherst Grocery,314 W. Colonial,1930-1939,"28.5529059093393, -81.38392099239915"
West Colonial Garage,62 W. Colonial Dr.,1930-1939,"28.55290319966821, -81.38065448989964"
H.M. Jarvis (attorney),69 W. Concord,1930-1939,"28.551257527514778, -81.38026046106462"
Orlando Linen & Towel Supply Co. Inc.,69 W. Concord,1930-1939,"28.551257527514778, -81.38026046106462"
Orlando Steam Laundry Co Inc.,43 W. Concord,1930-1939,"28.551218113097434, -81.37995225005965"
Hendershot Grocery & Meat Market,401 W. Concord,1930-1939,"28.551018665243582, -81.38423750523987"
Fosgates Markets Inc.,63 W. Amelia,1930-1939,"28.54986897571921, -81.38061166296482"
Hewett Well Driving & Machinery,1015 W. Amelia,1930-1939,"28.54960504846969, -81.39406639180001"
Minter's Service Station,201 W. Amelia,1930-1939,"28.549411799986057, -81.3819566629648"
Meiner's Grocery,202 W. Amelia,1930-1939,"28.54941089998613, -81.38203304947046"
H.A. Ballou (plumber),202 W. Amelia,1930-1939,"28.54941089998613, -81.38203304947046"
Standard Garage,108 W. Amelia,1930-1939,"28.54927962427724, -81.38113999364649"
Orlando Wholesale Co. (grocers),100 W. Amelia,1930-1939,"28.549265412139356, -81.38106248650732"
Orlando Produce Co.,100 W. Amelia,1930-1939,"28.549265412139356, -81.38106248650732"
Open Air Poultry Market,68 W. Amelia,1930-1939,"28.549262199999575, -81.38021399180005"
City Transfer Co.,528 N. Garland,1930-1939,"28.548840472992012, -81.3819957052399"
Electric Fruit Marking Co.,377 N. Garland,1930-1939,"28.547052500194848, -81.38184596106471"
Pounds & Batey Crate Co. (cooperage),400 N. Garland,1930-1939,"28.545927149455594, -81.38247211873484"
Auto Storage Co.,41 W. Jefferson,1930-1939,"28.544922418597967, -81.38010036536505"
Central Warehouse & Storage Co.,63 W. Jefferson,1930-1939,"28.54488283093769, -81.38063932978258"
A.B.C. Transfer Company (general hauling),63 W. Jefferson,1930-1939,"28.54488283093769, -81.38063932978258"
California Spray Chemical Co.,61 W. Jefferson,1930-1939,"28.544720993929744, -81.38063926536508"
Howard Grocery Co.,130 Gertrude Ave.,1930-1939,"28.544155925193454, -81.38133508989982"
Dixie Press (printers),126 S. Gertrude,1930-1939,"28.544090550977074, -81.38129237455969"
Atlas Mfg Co (machine shops),26 N. Gertrude,1930-1939,"28.543866400481757, -81.38101053222974"
Billingley Machine Shop,26 N. Gertrude,1930-1939,"28.543866400481757, -81.38101053222974"
Pickett Lumber Co.,42 N. Gertrude,1930-1939,"28.54382870142569, -81.38103198989981"
Greater Orlando Emplyment Bureau,77 N. Hughey,1930-1939,"28.543444674926285, -81.38291091873494"
Orlando Coffee Co. Inc.,94 N. Garland,1930-1939,"28.542979675093015, -81.38236573222976"
Jones' Service Station (automobile service),44 S. Garland,1930-1939,"28.542946706352367, -81.38237109420012"
Orlando Furniture & Auction Co.,48 N. Garland,1930-1939,"28.542931808222395, -81.38238520566571"
Central Paper Co.,46 N. Garland,1930-1939,"28.542927856661468, -81.38237109420017"
Ayers Electric Co. ofc (electrical contractor),56 N. Garland,1930-1939,"28.542923126027812, -81.38238718989984"
W.E. Smythe & Son (automobile dealer),535 W. Central Ave.,1930-1939,"28.542539400604802, -81.38654546296513"
Richards Auto Top Shop,539 W. Central,1930-1939,"28.54241317572336, -81.3867015629651"
L.B. Fort Inc. (garage),539 W. Central,1930-1939,"28.54241317572336, -81.3867015629651"
Orange County Duco Co (paints),539 W. Central,1930-1939,"28.54241317572336, -81.3867015629651"
Clark-Brewer (tractors),531 W. Central,1930-1939,"28.542406087553623, -81.38648635767039"
Central Pharmacy,429 W. Central,1930-1939,"28.54233965042045, -81.38463766106487"
Central Soda Fountain,429 W. Central,1930-1939,"28.54233965042045, -81.38463766106487"
