Allstate Insurance,845 N. Garland Ave.,1970-1979,"28.556429075711993, -81.38073366106448"
Pup City,2113 W. Colonial Dr.,1970-1979,"28.553712023477814, -81.40760383222954"
McDonald's Hamburgers,2501 W. Colonial Dr.,1970-1979,"28.553279375713853, -81.41181350339454"
Creative Child Care of Florida&comma; Inc.,1325 W. Colonial Dr.,1970-1979,"28.55320859392853, -81.39838360094751"
Nader Homes&comma; Inc.,1301 W. Colonial Dr.,1970-1979,"28.553191417856848, -81.39775036536501"
Winter Springs Development Corp.,1301 W. Colonial Dr.,1970-1979,"28.553191417856848, -81.39775036536501"
Bell's Key Service,705 W. Colonial Dr.,1970-1979,"28.553184805501044, -81.3891551911753"
Independent Order of Foresters,1323 W. Colonial Dr.,1970-1979,"28.553152305894454, -81.39796449420002"
Val Villanyi-Hausner,724 W. Colonial Dr.,1970-1979,"28.552828581948575, -81.38991002978253"
C.B. Davis&comma; Realtor,1700 W. Colonial Dr.,1970-1979,"28.552596519034864, -81.402865500386"
W.J. Milner & Co.,924 W. Amelia St.,1970-1979,"28.549210800004243, -81.39239746296478"
Original Parts Co.&comma; Inc.,740 W. Amelia St.,1970-1979,"28.549060724316522, -81.3910079206352"
Reed Motors Co.,401 N. Garland,1970-1979,"28.548388751359344, -81.38147776106464"
Florida College of Programming,115 W. Central Blvd.,1970-1979,"28.542122531308603, -81.38107050094753"
Barr Wholesale Co.,118 W. Central Blvd.,1970-1979,"28.542098118249214, -81.38123319604543"
Jones College,1 W. Church St.,1970-1979,"28.540475685211803, -81.37925467933232"
B.E. Purcell Co.,315 W. Church St.,1970-1979,"28.540340254752127, -81.38319148248564"
Beverly's Pharmacy,592 W. Church St.,1970-1979,"28.539904993930392, -81.3866920653651"
Walls & Callahan&comma; M.D.,60 W. Columbia,1970-1979,"28.52761827572786, -81.37896638990033"
Harold & Miller Equipment Co.&comma; Inc.,1021 Grand Ave.,1970-1979,"28.526714349432165, -81.39401466106524"
Crane & Equipment Rental&comma; Inc.,1023 W. Grand Ave.,1970-1979,"28.526710254623172, -81.39435286106524"
Orlando Bolt & Screw Co.,2109 S. Division Ave.,1970-1979,"28.517821875733407, -81.38332606106546"
Manufacturers Buyer's Co.,2701 S. Division Ave.,1970-1979,"28.51455814005116, -81.38456663038521"
Allied Radio Shack&comma; Associate Store,2139 W. Colonial Dr.,1970-1979,"28.554460790075492, -81.40767096106455"
Professional Hearing Aids,2121 W. Colonial Dr.,1970-1979,"28.554373775713312, -81.40899358989957"
Pan American Tire Co.,2395 W. Colonial Dr.,1970-1979,"28.553312323549555, -81.41120420339446"
Glore Furniture & Carpet,1025 W. Colonial Dr.,1970-1979,"28.55324627838654, -81.39452162911189"
Feddon Motors,2525 W. Colonial Dr.,1970-1979,"28.553218951789038, -81.41205816106452"
Paul Curtis&comma; Realty,733 W. Colonial Dr.,1970-1979,"28.553214093928617, -81.39007390094747"
Carl R. Stevens&comma; Realtor,1325 W. Colonial Dr. Rm. 206,1970-1979,"28.55320859392853, -81.39838360094751"
Bel-Air Homes&comma; Inc.,1301 W. Colonial Dr.,1970-1979,"28.553191417856848, -81.39775036536501"
Mid State Realty Service,901 W. Colonial Dr.,1970-1979,"28.553188117857196, -81.39176102978253"
House of Golf,3107 W. Colonial Dr.,1970-1979,"28.55306788279745, -81.41622612057989"
Walt Thompson&comma; Inc. (realtor),812 W. Colonial Dr.,1970-1979,"28.552783181946523, -81.39157149420008"
Avera&comma; Sanderlin & Gilbert&comma; Inc.,1344 W. Colonial Dr.,1970-1979,"28.55269311046852, -81.3993228646944"
Duckworth&comma; Duckworth & Pardue (real estate appraisal),1412 W. Colonial Dr.,1970-1979,"28.552692710468552, -81.40011670027687"
Beam Realty,1712 W. Colonial Dr.,1970-1979,"28.552635023671307, -81.40329318989967"
Motoress Aid of Central Florida&comma; Inc.,1700 W. Colonial Dr.,1970-1979,"28.552596519034864, -81.402865500386"
Westinghouse Electric Corp.,1200 W. Colonial,1970-1979,"28.552488282561974, -81.3966038806403"
Rapidgrafix Press&comma; Inc.,2128 1/2 W. Colonial Dr.,1970-1979,"28.552408023711962, -81.40881546106462"
Carpet Mill Outlet,2138 W. Colonial Dr.,1970-1979,"28.552267599725354, -81.40922460339455"
Hilton Inn West,3200 W. Colonial Dr.,1970-1979,"28.55201849974788, -81.41527640339449"
Hilton Inn House of Beef,3200 W. Colonial Dr.,1970-1979,"28.55201849974788, -81.41527640339449"
Nix Bedding and Furniture&comma; Inc.,3798 W. Colonial Dr.,1970-1979,"28.55175147571478, -81.42527398989961"
Shader Bros.&comma; Inc. Office Products,70 W. Amelia St.,1970-1979,"28.549261399999644, -81.38031969180003"
Gilberts Plastic Signs,82 N. Hughey Ave.,1970-1979,"28.543486800515844, -81.38340516106484"
Roquemores of Orlando&comma; Inc.,725 W. Central Blvd.,1970-1979,"28.54294610056825, -81.38995863412987"
Hammond Electronics&comma; Inc.,911 W. Central Blvd.,1970-1979,"28.542494325495216, -81.3924559629651"
Crocker's Meats,2139 W. Central Ave.,1970-1979,"28.542475950836973, -81.4089766629651"
Miller Machinery & Supply Co. of Tampa & Orlando,1019 W. Central Blvd.,1970-1979,"28.542379076148432, -81.39380249180033"
Home Discount Co.&comma; Inc.,1107 W. Central Blvd.,1970-1979,"28.542224800633136, -81.39466876296513"
Chamberlin Natural Foods,25 W. Church St.,1970-1979,"28.540630667271724, -81.37957598248563"
Action Center Moving and Storage,1109 W. Church St.,1970-1979,"28.540392293930303, -81.39479760094754"
Apex&comma; Inc.,1131 W. Church St.,1970-1979,"28.540343681391693, -81.39541089420013"
Herndon G. Harrison Real Estate,527 W. Church St.,1970-1979,"28.54028891102396, -81.38552148248564"
James Deshay Painting & Decorating,642 W. Church St.,1970-1979,"28.54000641903844, -81.38875866536507"
Cummins Florida&comma; Inc.,1220 W. Church St.,1970-1979,"28.53996713159817, -81.39643476536507"
Canada Dry Bottling Co.,1414 W. Church St.,1970-1979,"28.53941282604488, -81.4002421898999"
Peterson Outdoor Advertising&comma; Inc.,1347 W. Anderson St.,1970-1979,"28.536772419328237, -81.39893600094757"
Pepsico Truck Rental&comma; Inc.,1477 W. Gore St.,1970-1979,"28.53128420687566, -81.40060856536512"
J. Rolfe Davis & Associates&comma; Inc. (insurance agency),14 W. Gore ,1970-1979,"28.530911506892377, -81.37718222978268"
Lawyers' Title Guaranty Fund,32 W. Gore St.,1970-1979,"28.530904875726208, -81.3776189610651"
Avis Truck Rental,800 W. Gore St.,1970-1979,"28.530751780964028, -81.39007189420018"
V.T.N. Inc.,712 W. Gore St.,1970-1979,"28.530663632847748, -81.38948332978269"
Carl S. McLemore & Robert N. Serros&comma; M.D.'s,95 W. Columbia St.,1970-1979,"28.52810565424821, -81.38048588990019"
Louis C. Murray&comma; M.D.,60 W. Columbia,1970-1979,"28.52761827572786, -81.37896638990033"
Orlando Typesetting,1212 Atlanta Ave.,1970-1979,"28.527451354423995, -81.3833376322302"
Bond Plumbing Supply,1301 Atlanta Ave.,1970-1979,"28.5264321546979, -81.38261193223025"
Ward Air Conditioning Co.,530 W. Grand St.,1970-1979,"28.526060476886975, -81.38560628022833"
Florida Carbonic&comma; Inc.,1700 S. Division Ave.,1970-1979,"28.52253267573074, -81.3849361322303"
Fairway Markets (grocers),438 W. Kaley St.,1970-1979,"28.519641821876004, -81.38401850339525"
Forest Products Corp. (lumber),2021 S. Division,1970-1979,"28.51866633262106, -81.38454845737485"
