Continental Window & Glass,1647 Acme St.,1987,"28.5279909070242, -81.40298977"
Kelly's Fast Express,1662 Acme St.,1987,"28.5275530070438, -81.40348203"
Water Wonders Inc.,1703 Acme St.,1987,"28.5280670331973, -81.40378213"
Galaxy Printing,1718 Acme St.,1987,"28.527500607046232, -81.40407240141249"
J Piercey Studios (glass dealers-stained and leaded),1720 Acme St.,1987,"28.527615493932984, -81.40420819466533"
Tri County Landscaping of Orlando Inc.,1800 Acme St.,1987,"28.527637028161344, -81.40496976296573"
Mellon-Stuart Co.,1812 Acme St.,1987,"28.527517301956703, -81.40499556296578"
Grantair Inc.,711 W. Amelia St.,1987,"28.549644475719454, -81.3896505341296"
First Haitian Church of the Nazarene,728 W. Amelia St.,1987,"28.549014972932977, -81.39035296296484"
Nolen Truly Pest Control Inc.,1000 W. Amelia St.,1987,"28.549149575719632, -81.39353426296483"
Central Florida Battery Distributors,1020 W. Amelia St.,1987,"28.548979248638044, -81.39412556296486"
National Performance Warehouse of Orlando,1030 W. Amelia St.,1987,"28.548948912153865, -81.39451432883504"
Greater Orlando Area Legal Services Inc.,1036 W. Amelia St.,1987,"28.54902117571621, -81.3945828322296"
Armellini Express Line Inc.,1045 W. Amelia St.,1987,"28.54987497571572, -81.39509276106465"
Parrish & Bailey PA (lawyers),116 America St.,1987,"28.533838227045212, -81.38074363222995"
Edward Harris Jr. (consultants),124 America St. Apt. 15,1987,"28.53362868117741, -81.38127983407529"
Sears Fiberglass Pools,300 W. America St.,1987,"28.533975578319925, -81.38214396106514"
Reliable Motorcycle Salvage,1240 W. Anderson St.,1987,"28.536201427207036, -81.3967533848587"
Ferguson-Ferguson Decals,1342 W. Anderson St.,1987,"28.536379793930863, -81.39898002978263"
A R C Body Repair,1347 W. Anderson St.,1987,"28.536772419328237, -81.39893600094757"
Park Plumbing & Hardware Specialties Inc.,1424 W. Anderson St.,1987,"28.53622021937784, -81.40021872978261"
Architectural Tire & Associates Inc. (roofing materials),711 Atlanta Ave.,1987,"28.530109379705234, -81.38356573223011"
Central Plastering & Development Co. Inc.,1102 Atlanta Ave.,1987,"28.5290065496361, -81.38389403223016"
H & C Services of Orlando,1104 Atlanta Ave.,1987,"28.528842675727347, -81.38376077455997"
Burkett Construction Inc.,1107 Atlanta Ave.,1987,"28.52879772794946, -81.38338723223018"
Robert A. Huggins General Contractors Inc.,1115 Atlanta Ave.,1987,"28.528578954120817, -81.38337713223018"
Jimco Stone Centers,1237 Atlanta Ave.,1987,"28.526998549457687, -81.38286988990025"
H.C. Buchanan Concrete&comma; Inc.,1600 Atlanta Ave.,1987,"28.523573849153077, -81.38325620339525"
Capricorn Foods,1601 Atlanta Ave.,1987,"28.52357295546647, -81.38248313223029"
East Orlando Garage Inc.,1834 Atlanta Ave.,1987,"28.52059884888888, -81.38348593223034"
Smith Rooming House,739 Bentley St.,1987,"28.54686164291978, -81.39065122978256"
The Full Deliverance Church of Jesus,921 Bentley Ave.,1987,"28.547187, -81.393123"
Tom Skinner Clubs Inc.,3000 Carter St.,1987,"28.53383696387204, -81.40240530418787"
First Baptist Thrift Shop,126 W. Central Ave.,1987,"28.541974094210243, -81.3813338113856"
Eitharong Unmarid Art Gallery,130 W. Central Blvd.,1987,"28.541950781203347, -81.38141378255051"
Neilson & Associates (lawyers),135 W. Central Blvd. #200,1987,"28.542350706379146, -81.38140932978257"
U S Sprint,135 W. Central Blvd. #500,1987,"28.542350706379146, -81.38140932978257"
Colonial Service & Mtge. Corp.,135 W. Central Blvd. #600,1987,"28.542350706379146, -81.38140932978257"
McDonald Computer Corp.,135 W. Central Blvd. #650,1987,"28.542350706379146, -81.38140932978257"
Great Northern Financial Corp.,135 W. Central Blvd. #650,1987,"28.542350706379146, -81.38140932978257"
Thomas J. Fisher & Co. Inc. (real estate),135 W. Central Blvd. #690,1987,"28.542350706379146, -81.38140932978257"
