Clearance Outlet,2500 W. Colonial Dr.,1980-1989,"28.551695823839886, -81.4118991898996"
Orlando Arena (TD Waterhouse Center&comma; Amway Arena),600 W. Amelia St.,1980-1989,"28.549299197111065, -81.38669416296484"
Julian Consolidated&comma; Inc.,425 W. Colonial Dr. #104,1980-1989,"28.553428454458874, -81.38580366469438"
Pardue&comma; Heid&comma; Church&comma; Smith & Waller&comma; Inc. (real estate appraisers),1403 W. Colonial Dr.,1980-1989,"28.553276878383105, -81.39973366469441"
Kenneth H. Dinklage&comma; CLU&comma; ChFC,401 W. Colonial Dr. #2,1980-1989,"28.55327079848218, -81.38518998248561"
Lovelace&comma; Roby & Company,401 W. Colonial Dr. #7,1980-1989,"28.55327079848218, -81.38518998248561"
Stephens Temporary Personnel,617 W. Colonial Dr.,1980-1989,"28.553232654463283, -81.38855198248561"
Gilpin Peyton & Pierce&comma; Inc.,1601 W. Colonial Dr.,1980-1989,"28.55318569848223, -81.40207954690314"
Pinel&comma; Rex & Carpenter&comma; Inc.,1501 W. Colonial Dr.,1980-1989,"28.553185454464273, -81.40090396469438"
Spa Lady of Orlando&comma; Inc.,2143 W. Colonial Dr.,1980-1989,"28.55306363909723, -81.40851061873468"
Belleville & Company&comma; Inc.,702 W. Colonial Dr.,1980-1989,"28.55285371788716, -81.3889159297825"
Davis Builders,1512 W. Colonial Dr.,1980-1989,"28.55265335447624, -81.40115538248563"
Florida Trend (publishers),1512 W. Colonial Dr.,1980-1989,"28.55265335447624, -81.40115538248563"
All State Concrete Corp.,1310 W. Colonial Dr. Suite 11,1980-1989,"28.552564729905484, -81.39815236536502"
Interdonato Fashions,1310 W. Colonial Dr. Suite 36,1980-1989,"28.552564729905484, -81.39815236536502"
Diversified Numismatics&comma; Inc.,2124 W. Colonial Dr.,1980-1989,"28.55242952370804, -81.40865403222952"
Orange Inn,3600 W. Colonial Dr.,1980-1989,"28.552336647731238, -81.42155543222954"
Howard Johnson's Downtown Executive Center,304 W. Colonial Dr. Suite 221,1980-1989,"28.552270206420186, -81.38348347365306"
WKIS NEWSTALK 74,3500 W. Colonial Dr.,1980-1989,"28.55209242376859, -81.42042030339452"
