Barr Welding,1639 Acme St.,1993,"28.5281541462702, -81.40257006"
American Testing Laboratories,1650 Acme St.,1993,"28.527682807038, -81.40303659"
Universal Auto Radiator Co.,1660 Acme St.,1993,"28.527579793933, -81.40341343"
Pro Mix Inc (sound systems & equipment),1713 Acme St.,1993,"28.5280578462874, -81.40407923"
LK Machine & Tool Mfg Inc,1720 Acme St.,1993,"28.527615493932984, -81.40420819466533"
Ace-Mega Florida Warehouse (auto parts),1724 Acme St.,1993,"28.527532066592666, -81.40463097749765"
Florida Golf Cars,1800 Acme St.,1993,"28.527637028161344, -81.40496976296573"
Keenan Hopkins Schmidt & Stowell Contractors Inc.,1801 Acme St.,1993,"28.528144258932898, -81.40496313413055"
Professional Safety Supplies Inc,1805 Acme St.,1993,"28.528089428080175, -81.40504867830657"
Southland Underground Cable TV,1812 Acme St.,1993,"28.527517301956703, -81.40499556296578"
American Associates Co Inc (roofing equipment and supply),1812 Acme St.,1993,"28.527517301956703, -81.40499556296578"
Studio (recording),742 W. Amelia St.,1993,"28.549097148606325, -81.39109379180005"
Desing Light Photography,1000 W. Amelia St.,1993,"28.549149575719632, -81.39353426296483"
Cycle Salvage,1240 W. Anderson St.,1993,"28.536201427207036, -81.3967533848587"
Ferguson-Ferguson Satellite Equipment,1314 W. Anderson St.,1993,"28.536315606649858, -81.39810816536514"
Ferguson-Ferguson Silk Screen Printer,1314 W. Anderson St.,1993,"28.536315606649858, -81.39810816536514"
National Cylinder Head Exchange Inc.,1446 W. Anderson St.,1993,"28.53634334480332, -81.40106472978265"
Florida Stairs & Rails Inc.,711 Atlanta Ave.,1993,"28.530109379705234, -81.38356573223011"
First Roasters of Central Florida (coffee importers & brokers),1220 Atlanta Ave.,1993,"28.527150980765214, -81.38346016106527"
Preferred Metal Products,1315 Atlanta Ave.,1993,"28.525927022996743, -81.38251530339515"
Bell South Mobility Inc.,1320 Atlanta Ave.,1993,"28.525825228482766, -81.38354606106525"
Seaboard Cold Storage Inc.,1601 Atlanta Ave.,1993,"28.52357295546647, -81.38248313223029"
Willie M. Stephens (maids' & butlers' service),738 Bentley St.,1993,"28.54659287946557, -81.39070038150362"
New Jerusalem Church of God,748 Carter St.,1993,"28.534570396616733, -81.39088806894948"
OCS Consulting Services Inc.,135 W. Central Blvd.,1993,"28.542350706379146, -81.38140932978257"
Planned Savings,135 W. Central Blvd.,1993,"28.542350706379146, -81.38140932978257"
Sun Bank of Florida Inc.,135 W. Central Blvd. #230,1993,"28.542350706379146, -81.38140932978257"
Suntrust Mortgage Inc.,135 W. Central Blvd. #300,1993,"28.542350706379146, -81.38140932978257"
March of Dimes,135 W. Central Blvd. #440,1993,"28.542350706379146, -81.38140932978257"
Parsons Brinckerhoff Gore & Storrie Inc. (PBG&S) (environmental and ecological services),135 W. Central Blvd. #720,1993,"28.542350706379146, -81.38140932978257"
Phone One,135 W. Central Blvd. #1050,1993,"28.542350706379146, -81.38140932978257"
Mortgage Plus Inc.,135 W. Central Blvd. #1100,1993,"28.542350706379146, -81.38140932978257"
Vista Trading Corporation,135 W. Central Blvd. #1230,1993,"28.542350706379146, -81.38140932978257"
Baptist Thrift Shop,437 W. Central Blvd.,1993,"28.542330025521185, -81.3847166898999"
Handyman Temp Services,501 W. Central Blvd.,1993,"28.542145227362603, -81.38507081504432"
Webb's Garage,666 W. Central Blvd.,1993,"28.541778825623563, -81.38882473412995"
Pat-Teeh Electronics,703 W. Central Blvd.,1993,"28.542405750830795, -81.38929336296512"
Parts Depot (auto parts),725 W. Central Blvd.,1993,"28.54294610056825, -81.38995863412987"
FTR Commercial and Retreads,777 W. Central Blvd.,1993,"28.542894600572815, -81.39040986296509"
Foremost Tire & Retreading,777a W. Central Blvd.,1993,"28.542894600572815, -81.39040986296509"
Marc Clifton Beauty Supplies,914 W. Central Blvd.,1993,"28.54184910066691, -81.39251019180035"
Labor Depot,1103 W. Central Blvd.,1993,"28.542126100642054, -81.39455069180033"
Sonnywinn Dist. Inc. (automobile mfrs and distrs),1202h W. Central Blvd.,1993,"28.541850800666772, -81.39583952063555"
God's Church of Praise,1204 W. Central Blvd.,1993,"28.54188280066397, -81.39586750714119"
Electric Maintenance Supplies,1230 W. Central Blvd.,1993,"28.541496050650935, -81.39656846296516"
Joey Jackson Co. (auto parts),1320 W. Central Blvd.,1993,"28.541681550766363, -81.39815773413007"
Montsho Books Etc,2009 W. Central Blvd.,1993,"28.54221122554605, -81.40605823412996"
A-Quality Awning,2115 W. Central Blvd.,1993,"28.5422475006311, -81.40821566296513"
Lowrie Brown Real Estate & Construction,2118 W. Central Blvd.,1993,"28.54168305076653, -81.40856706296518"
Precision Music Productions Inc.,2122 W. Central Blvd.,1993,"28.541681650766307, -81.40875244762432"
Evangelical Baptist Church of the Bible,2139 W. Central Blvd.,1993,"28.542475950836973, -81.4089766629651"
Pebbles (restaurant),17 W. Church St.,1993,"28.54069131897721, -81.37944435861762"
Mulvaney's Irish Pub,27 W. Church St.,1993,"28.54063381100846, -81.37966188246672"
Church Street Market,55 W. Church St.,1993,"28.54079792875797, -81.38036142839778"
The Brookstone Co. (clothing),55 W. Church St. Ste. 100,1993,"28.54079792875797, -81.38036142839778"
Sunvision,55 W. Church St. Ste. 101,1993,"28.54079792875797, -81.38036142839778"
Athlete's Foot,55 W. Church St. Ste. 109,1993,"28.54079792875797, -81.38036142839778"
Campagnie Internationale Express (clothing),55 W. Church St. Ste. 115,1993,"28.54079792875797, -81.38036142839778"
Sun Shirts of Orlando (clothing),55 W. Church St. Ste. 125,1993,"28.54079792875797, -81.38036142839778"
B Dalton Books,55 W. Church St. Ste. 130,1993,"28.54079792875797, -81.38036142839778"
Hit or Miss (clothing),55 W. Church St. Ste. 145,1993,"28.54079792875797, -81.38036142839778"
The Sharper Image,55 W. Church St. Ste. 150,1993,"28.54079792875797, -81.38036142839778"
Madison Jewelers,55 W. Church St. Ste. 170,1993,"28.54079792875797, -81.38036142839778"
The Toggery (clothing),55 W. Church St. Ste. 180,1993,"28.54079792875797, -81.38036142839778"
Pizzeria Uno,55 W. Church St. Ste. 248,1993,"28.54079792875797, -81.38036142839778"
The Olive Garden,55 W. Church St. Ste. 250,1993,"28.54079792875797, -81.38036142839778"
Buffalo Trading Co.,128 W. Church St.,1993,"28.540106411032056, -81.38145068246672"
Lili Marlene's Aviators Pub & Restaurant,129 W. Church St.,1993,"28.54044148594837, -81.3814848002769"
Church St. Depot Store,377 W. Church St.,1993,"28.540370998482647, -81.38354528248566"
Central Sandwich Shop,528 W. Church St.,1993,"28.539986311037488, -81.38550474690315"
Gregory Bs Barber and Beauty Shop,532 W. Church St.,1993,"28.540081998482567, -81.38555461130177"
Negril Point (restaurant),536 W. Church St.,1993,"28.540031, -81.385605"
T & M Soda Shop,557 W. Church St.,1993,"28.54029623610622, -81.38607990520694"
Singhs Cafe,562 W. Church St.,1993,"28.539907523599595, -81.3861398646944"
Dotts Fashion,572 W. Church St.,1993,"28.539888003335253, -81.3863603363438"
Discount Auto Parts,711 W. Church St.,1993,"28.540470598482617, -81.38967260027688"
Hair Fanatic,731 W. Church St.,1993,"28.54030365475294, -81.39028906469439"
Appliance & Furniture Outlet,1218 W. Church St.,1993,"28.53994360648718, -81.39634456536508"
Louis Demps Boarding House,2018 W. Church St.,1993,"28.53994096334846, -81.40630507889675"
Hi-Tech Coatings Inc.,2112 W. Church St.,1993,"28.53991367572125, -81.40786463222982"
Dieseltron Battery Inc.,2127 W. Church St.,1993,"28.540359300797448, -81.40841246106486"
Love Thy Neighbor Church of the Living God,2130 W. Church St.,1993,"28.539916700837416, -81.40891333222984"
Wel Kleen Coin Laundry,2383 W. Church St.,1993,"28.540323250962746, -81.41214603222988"
Salon Dimensions,2387 W. Church St.,1993,"28.5403314011246, -81.41238556106488"
Church Street Religious Store,2391 W. Church St.,1993,"28.540314175721118, -81.41249818989992"
Faith Temple of Christ,2392 W. Church St.,1993,"28.539865076209402, -81.41265916106487"
Omni Care Medical Center,2511 W. Church St.,1993,"28.540272290821996, -81.41447436991099"
Mattress Discounters,26 W. Colonial Dr.,1993,"28.552942005903834, -81.37980536536499"
Central Florida Type,39 W. Colonial Dr.,1993,"28.55342934743733, -81.38004847455944"
Q C Computors,51 W. Colonial Dr.,1993,"28.5534466952494, -81.38023969174492"
American Speedy Printing Centers,65 W. Colonial Dr.,1993,"28.55344311916086, -81.38063828989961"
Sun Insurance (bowling supplies),75 W. Colonial Dr.,1993,"28.553426571347813, -81.38071238989963"
United American of Central Florida,105 W. Colonial Dr.,1993,"28.553607971282695, -81.38142136106457"
Scoreboard Lounge (cocktail lounge),304 W. Colonial Dr.,1993,"28.552270206420186, -81.38348347365306"
Park Place Restaurant,304 W. Colonial Dr.,1993,"28.552270206420186, -81.38348347365306"
Francis Stewart Studio (photography),318 W. Colonial Dr. Ste. 1,1993,"28.552833975714066, -81.38403518989959"
DaRon DBA Ink Prints Inc. ,318 W. Colonial Dr. Ste. B,1993,"28.552833975714066, -81.38403518989959"
