Tabernacle Baptist Church,749 Federal St.,1960-1969,"28.548674130913643, -81.39107276246003"
Busy Bee Club,1027 Federal St.,1960-1969,"28.54847412701802, -81.3945394610647"
Tinyrette Snack Bar,829 Bentley Ave.,1960-1969,"28.547007, -81.39199"
Bennie's Beauty Shop,820 Bentley Ave.,1960-1969,"28.546919, -81.322059"
Silver Leaf Club,214 Garden St.,1960-1969,"28.54533497571828, -81.3906987322297"
C. Walker Beer Garden,220 Lincoln St.,1960-1969,"28.544997338626654, -81.38815038127002"
Jonier's Grill,201 N. Lee St.,1960-1969,"28.544894913109992, -81.3909577500608"
Twin Light Club,1048 W. Jefferson St.,1960-1969,"28.544751325086544, -81.39514316106475"
True Heart Club,1048 W. Jefferson St.,1960-1969,"28.544751325086544, -81.39514316106475"
Beggs Street Neighborhood Club,123 Beggs St.,1960-1969,"28.54406549894979, -81.3836226680046"
Orange Blossom Community Club,123 Beggs St.,1960-1969,"28.54406549894979, -81.3836226680046"
W.H. Strong (realtor),701 W. Church St.,1960-1969,"28.540627918982818, -81.38937570094757"
Gales Clothing & Jewlery Store,335-343 Church St.,1960-1969,"28.54033869848263, -81.3833028002769"
Mitchell's Studio,571 W. Church St.,1960-1969,"28.540311001016313, -81.38624331687228"
Freda's Fashion in Fabrics,553 W. Church St.,1960-1969,"28.54029653610616, -81.38579244874846"
Taylor's Beautiette,553 W. Church St.,1960-1969,"28.54029653610616, -81.38579244874846"
Olivia Beacham (notary public),539 W. Church St.,1960-1969,"28.54029497983564, -81.38565796899074"
Boyd's Nick Nack,547 W. Church St.,1960-1969,"28.54028505475334, -81.38568034690316"
Everett Tavern,218 S. Division St.,1960-1969,"28.540048056275477, -81.3850288316279"
Lundy's Pool Room,522 W. Church St.,1960-1969,"28.540041, -81.385428"
G.L. Speights (dentist),444 W. Church St.,1960-1969,"28.5399904547599, -81.38472936469441"
Amvets Women's Auxiliary of Floyd Miller No. 30,572 W. Church St.,1960-1969,"28.539888003335253, -81.3863603363438"
Hick's Bar-B-Q,570 W. Church St.,1960-1969,"28.539879554762436, -81.3863360646944"
J.M. Cox&comma; M.D.,2500 W. Church St.,1960-1969,"28.539500461879324, -81.41475016637142"
West Side Florist Club,1022 W. Jackson St.,1960-1969,"28.53897570653058, -81.39407596536512"
Annie Spaulding's Beauty Shop,423 Hicks St.,1960-1969,"28.5375087517198, -81.38729498989998"
Hawkins Grocery,507 W. Carter St.,1960-1969,"28.534857876838828, -81.38545391349642"
Coleman Sundry,1021 W. Carter St.,1960-1969,"28.5347740070243, -81.39396563126843"
Young Women's Elite Club,338 W. Carter St.,1960-1969,"28.53471884961614, -81.38351735867606"
Harrison Sundries,602 S. Division St.,1960-1969,"28.534705732304943, -81.38521582978264"
Boyd's Drive-In,804 W. Carter St.,1960-1969,"28.534634421554873, -81.3914609938052"
Ever Ready Club,620 S. Division St.,1960-1969,"28.53461970437279, -81.3848930095403"
Modern Miss Club,620 S. Division St.,1960-1969,"28.53461970437279, -81.3848930095403"
Willing Workers Club,757 America St.,1960-1969,"28.534192424111033, -81.3911109646944"
The Florida Sun-Mirror,725 Easy St.,1960-1969,"28.533761883669836, -81.39639829388719"
Ambassadors Club,738 Dunbar Ct.,1960-1969,"28.53360816561003, -81.38646026106508"
Buddy's Auto Parts,745 Easy St.,1960-1969,"28.533099529188956, -81.39628758248567"
Jones High School,1400 W. Cypress St.,1960-1969,"28.53204497901175, -81.39715486106513"
Friendly Gift Club,804 S. Division St.,1960-1969,"28.531718782545155, -81.38502572058044"
Mothers Club,823 Avondale St.,1960-1969,"28.5314555757258, -81.38715223223011"
Faith Tabernacle Holiness Church,816 Holden St.,1960-1969,"28.49460207574604, -81.38625786106608"
Cobb's Beauty Shop,620 Holden St.,1960-1969,"28.49459351741261, -81.384590203396"
Orlando Fruit & Produce Co. ,105 W. Colonial Dr.,1960-1969,"28.553607971282695, -81.38142136106457"
Tinyette Grocery,819 Bentley Ave.,1960-1969,"28.547205, -81.391963"
Crayton & Thomas House of Charm,706 Bentley Ave.,1960-1969,"28.546836, -81.38941"
Sweetie's Beauty Box,616 W. Jefferson St.,1960-1969,"28.54448355101204, -81.38838363222973"
Irene & Aries Restaurant,130 S. Division St.,1960-1969,"28.540665593930257, -81.38510892978262"
Hicks Silver Grill,501 W. Church St.,1960-1969,"28.540635, -8.385271"
Herndon G. Harrison (realtor),701 W. Church St.,1960-1969,"28.540627918982818, -81.38937570094757"
Whitey's Cars,601 W. Church St.,1960-1969,"28.540435560574185, -81.38716343784043"
Orlando Bargain House,401-03-05 W. Church St.,1960-1969,"28.54033561102184, -81.38397390947539"
T.V. Motors,589 W. Church St.,1960-1969,"28.540322606796128, -81.38630641017403"
Afro-American Life Insurance Co.,445 1/2 W. Church St.,1960-1969,"28.540312998482644, -81.38472658248564"
Algeria Herb Co.,563 W. Church St.,1960-1969,"28.540312429998085, -81.38600147023028"
The Friendly Cafe,549 W. Church St.,1960-1969,"28.540292023565176, -81.38574360886959"
Donald Wheeler Jones (attorney),527 W. Church St.,1960-1969,"28.54028891102396, -81.38552148248564"
The Q Ball,536 W. Church St.,1960-1969,"28.540031, -81.385605"
Miller's Cafe La-Rue,424 W. Church St.,1960-1969,"28.539988198482597, -81.38459608246674"
Daniel's Fish & Poultry Market,426 W. Church St.,1960-1969,"28.539985842205304, -81.38462766469439"
Amvets Floyd Miller Post No. 30,572 W. Church St.,1960-1969,"28.539888003335253, -81.3863603363438"
Coleman's Radio & TV Service,606 W. Church St.,1960-1969,"28.539856465938254, -81.38729352227247"
Dr. P. Phillips Memorial Hospital for Coloreds,2500 W. Church St.,1960-1969,"28.539500461879324, -81.41475016637142"
Ruthie's Beauty Shop,638 W. Jackson St.,1960-1969,"28.539084375721515, -81.38860498990003"
Bessie's Beauty Shop,1010 Colyer St.,1960-1969,"28.537524950393337, -81.39360597455986"
Jones Grocery,428 Jernigan St.,1960-1969,"28.53718309732949, -81.39220334354077"
Glover's Sundry,537 W. Carter St.,1960-1969,"28.534791782758802, -81.38629727450774"
Cox's Grocery,801 W. Carter St.,1960-1969,"28.534771143989328, -81.39146888791426"
The Monique Salon of Beauty,802 W. Carter St.,1960-1969,"28.534634421554873, -81.3914609938052"
Anderson's Grocery & Market,916 W. Carter St.,1960-1969,"28.53457151869421, -81.39255225152314"
Tom's City Service Station,595 W. Church St.,1960-1969,"28.54079478141182, -81.38625706536507"
Alf K. Smith (tailor),443 W. Church St.,1960-1969,"28.540320067292598, -81.38473661132068"
C.R. Smith Credit Clothing and Appliance Store,503 W. Church St.,1960-1969,"28.540293567294363, -81.38528536469443"
Pilgrim Health & Life Insurance Co.,527 W. Church St.,1960-1969,"28.54028891102396, -81.38552148248564"
Bill's Shoe Rebuilder,525 W. Church St.,1960-1969,"28.540286554753333, -81.38546515610167"
Price's Barber Salon,559 W. Church St.,1960-1969,"28.54028254803942, -81.38576071013956"
Church Street Flower Shop,529 W. Church St.,1960-1969,"28.540281642211898, -81.38554138248563"
Lincoln Gardens Package Store (liquor),510 W. Church St.,1960-1969,"28.540032, -81.385288"
Holleman's Barber Shop,608 W. Church St.,1960-1969,"28.53985557263614, -81.38731770552224"
Isaac S. Mannings (dentist),708 W. Jackson St.,1960-1969,"28.539095800911365, -81.38945250339479"
Green Parrot Tavern,705 W. Carter St.,1960-1969,"28.534879084367354, -81.38940480742254"
Henry's Restaurant (1906-61; 1961) Place (1972),919 W. Carter St.,1960-1969,"28.534763722760374, -81.39297627795268"
Praise Temple Church of the Narzarene,805 W. Carter St.,1960-1969,"28.53476321805594, -81.39152527440756"
Moses Pharmacy,2120 Colonial Dr.,1960-1969,"28.552313123729014, -81.40840881873473"
Sil's Pool Room,542 W. Church St.,1960-1969,"28.539913, -81.385788"
Booker T. Washington Library,548 W. Jackson St.,1960-1969,"28.539228526081384, -81.38635812063568"
Shiloh Baptist Church,604 W. Jackson St.,1960-1969,"28.539003500919588, -81.38728916106494"
Essie's Beauty Shop,1043 W. Jefferson St.,1960-1969,"28.545054426408026, -81.39498586106481"
Royal Palm Elks Lodge,554 W. Church St.,1960-1969,"28.53983795476338, -81.38607186899077"
Wright's Grocery,747 S. Lee St.,1960-1969,"28.53318382716263, -81.39111573223002"
Bob Lyles Motors,2121 W. Colonial Dr.,1960-1969,"28.554373775713312, -81.40899358989957"
Grand Way Store,3201 W. Colonial Dr.,1960-1969,"28.554008133354397, -81.41588839906437"
Batt Batt (amusement),2115 W. Colonial Dr.,1960-1969,"28.553783675713603, -81.40761456106452"
The Wilson Realty,307 W. Colonial Dr.,1960-1969,"28.553563130810563, -81.38392258578732"
Cath Cain Hospitality Advertising,325 W. Colonial Dr. apt 320,1960-1969,"28.553544184830074, -81.38409461775888"
Richd T. Cain (vitamin products),325 W. Colonial Dr. apt 320,1960-1969,"28.553544184830074, -81.38409461775888"
Moreman's Laundry & Cleaners,39 W. Colonial Dr.,1960-1969,"28.55342934743733, -81.38004847455944"
Orlando Federal Savings and Loan Association,2301 W. Colonial Dr.,1960-1969,"28.55341867571376, -81.41014526106451"
Utility Service Maintenance Corp.,2305 W. Colonial Dr.,1960-1969,"28.553375247451903, -81.41019314756973"
Mrs. Florence G. Knight (dressmaker),711 W. Colonial Dr.,1960-1969,"28.55334589392848, -81.38931162978254"
Bob & Mack's Auto Service,2413 W. Colonial Dr.,1960-1969,"28.553297075713854, -81.41169320339445"
A A Z Z Mortgage Service,513 W. Colonial Dr.,1960-1969,"28.553281142502236, -81.38689590027688"
Thomas Bemis Jr. (realtor),513 W. Colonial Dr. #1,1960-1969,"28.553281142502236, -81.38689590027688"
Seven Eleven Dairy Store,513 W. Colonial Dr. #2,1960-1969,"28.553281142502236, -81.38689590027688"
Orlando Board of Realtors,513 W. Colonial Dr. #4,1960-1969,"28.553281142502236, -81.38689590027688"
Art Design Studio,513 W. Colonial Dr. #6-7,1960-1969,"28.553281142502236, -81.38689590027688"
Howard Clothes,3215 W. Colonial Dr.,1960-1969,"28.553268609272145, -81.41684141873462"
Robert E. Duckworth&comma; Robert E. Duckworth Jr.&comma; and Wm P Pardue Jr. (appraisers),1341 W. Colonial Dr.,1960-1969,"28.553263954462533, -81.39926771806809"
Hender Chiropractic Clinic,429 W. Colonial Dr.,1960-1969,"28.55325916642374, -81.38582856469438"
Herb's Drive In,1115 W. Colonial Dr.,1960-1969,"28.553258410443217, -81.39497744690314"
Sea View Awnings & Shutters of Orlando Inc.,1017 W. Colonial Dr.,1960-1969,"28.553252386521045, -81.39415254690317"
Galloway's Stores Inc.,1025 W. Colonial Dr.,1960-1969,"28.55324627838654, -81.39452162911189"
S & H Redemption Center,815 W. Colonial Dr.,1960-1969,"28.553243881967134, -81.39124672978251"
Grace E. Haines (furnished rooms),617 W. Colonial Dr.,1960-1969,"28.553232654463283, -81.38855198248561"
Citrus International Inc.,1333 W. Colonial Dr.,1960-1969,"28.553231186520097, -81.39876130027686"
Dixie Auto Top Shop,1011 W. Colonial Dr.,1960-1969,"28.553205822409183, -81.39394808248562"
Lake Dot Guest Home,509 W. Colonial Dr.,1960-1969,"28.553197454464062, -81.38657648248562"
Glore Furniture & Carpet,719 W. Colonial Dr.,1960-1969,"28.55319521785654, -81.38959132978253"
Carver Theatre,701 W. Colonial,1960-1969,"28.553184590605138, -81.38896416431817"
Melvin A. Fechter (real estate),701 W. Colonial Dr.,1960-1969,"28.553184590605138, -81.38896416431817"
Stanley E. Holcomb (real estate),701 W. Colonial Dr.,1960-1969,"28.553184590605138, -81.38896416431817"
S & B Water Co. Inc.,701 W. Colonial Dr.,1960-1969,"28.553184590605138, -81.38896416431817"
Ford Apartments,215 W. Colonial Dr.,1960-1969,"28.55318231785763, -81.38253052978253"
Colonial Pure Oil,205 W. Colonial Dr.,1960-1969,"28.55317915675596, -81.38242743785835"
Sunshine State Construction Co.,1317 W. Colonial Dr.,1960-1969,"28.553162929825074, -81.39789456536501"
Sanford B. Roberts (mortgage loans),1317 W. Colonial Dr.,1960-1969,"28.553162929825074, -81.39789456536501"
MacPherson Realty,1315 W. Colonial Dr.,1960-1969,"28.553158617859843, -81.39789085861753"
MacPherson School of Real Estate Law,1315 W. Colonial Dr.,1960-1969,"28.553158617859843, -81.39789085861753"
Orlando Appliance Center Inc.,2125 W. Colonial Dr.,1960-1969,"28.553107195401374, -81.40812283222958"
Reed Motors Inc.,124 W. Colonial Dr.,1960-1969,"28.55305932359507, -81.38139430339449"
Clemons Insurance Agency,3323 W. Colonial Dr.,1960-1969,"28.5530530828198, -81.41769018009533"
Hobbs-Thompson Inc. (real estate),1101 W. Colonial Dr.,1960-1969,"28.553048313982245, -81.39465557818926"
L. B. Sawyer Masonry Contractor,3325 W. Colonial Dr.,1960-1969,"28.55304345887949, -81.41767079359018"
Colonial Heights Plumbing,3325 W. Colonial Dr.,1960-1969,"28.55304345887949, -81.41767079359018"
Nunez & Hill (real estate),936 W. Colonial Dr.,1960-1969,"28.552977698482195, -81.39271694690315"
Steele Insurance Agency,418 W. Colonial Dr.,1960-1969,"28.552937042494566, -81.38497086469437"
V. H. Rexroat Realtor,418 W. Colonial Dr.,1960-1969,"28.552937042494566, -81.38497086469437"
Government Employees Finance Co.,800 W. Colonial Dr.,1960-1969,"28.552918866420338, -81.39098302978256"
Randolph&comma; Toy & Johnson Inc.,800 W. Colonial Dr.,1960-1969,"28.552918866420338, -81.39098302978256"
Holiday Realty,910 (924) W. Colonial Dr.,1960-1969,"28.552887518501326, -81.39212205861756"
John T. Henry (realtor),912 W. Colonial Dr.,1960-1969,"28.552856705907672, -81.39233279420003"
James R. Conner (realtor),716 W. Colonial Dr.,1960-1969,"28.55285439392861, -81.38956059420005"
Don L. Dudley (real estate),734 W. Colonial Dr.,1960-1969,"28.552803905910107, -81.39030473652993"
Hodes & Cumming Construction Co.,644 W. Colonial Dr.,1960-1969,"28.55279709848218, -81.38862426469439"
Sunshine State Land & Development Inc.,644 W. Colonial Dr.,1960-1969,"28.55279709848218, -81.38862426469439"
Bart's Cleaning Service,632 W. Columbia,1960-1969,"28.55274335447423, -81.38851958248563"
Reed Motors Inc.,645 N. Garland,1960-1969,"28.552724671599474, -81.38129173222951"
Wilkins Awning Co.,110 W. Colonial Dr.,1960-1969,"28.55271554762921, -81.38132381873461"
Gifford Arms Hotel Apartments Motor Lodge,600-12 W. Colonial Dr.,1960-1969,"28.55269154248908, -81.38818107144184"
Johnny Bremer's Pizza,932 W. Colonial Dr.,1960-1969,"28.55269084248907, -81.39269028248563"
Ida Mae Kittinger (real estate),924 W. Colonial Dr.,1960-1969,"28.55267284248867, -81.39263168248561"
Silas B. Trumbo (accountant),1314 W. Colonial Dr.,1960-1969,"28.552648305916964, -81.39832496536502"
Roy C. Bower (real estate),1314 W. Colonial Dr.,1960-1969,"28.552648305916964, -81.39832496536502"
Rexford L. Young Jr. (chiropractor),1308 W. Colonial Dr.,1960-1969,"28.552628517907316, -81.39782019420002"
L. B. Guignard (truck brokers),3410 W. Colonial Dr.,1960-1969,"28.552555835909168, -81.41848793222951"
Minute Maid Co.,1200 W. Colonial Dr.,1960-1969,"28.552488282561974, -81.3966038806403"
Francine's Dress Shop,2134 W. Colonial Dr.,1960-1969,"28.55242722370844, -81.40908561873465"
Tyree's of Orlando&comma; Inc.,2128 W. Colonial Dr.,1960-1969,"28.552408023711962, -81.40881546106462"
Gordon's Jewelry Co.,3300 W. Colonial Dr.,1960-1969,"28.552404923712615, -81.41695220339447"
Finley Hamilton (attorney),3300 W. Colonial Dr.,1960-1969,"28.552404923712615, -81.41695220339447"
