Sears Auto Trimming Supplies,437 W. Central Ave.,1961,"28.542330025521185, -81.3847166898999"
Sure Fit Seat Covers,441 W. Central Ave.,1961,"28.542339450420577, -81.3847475187349"
The Smith-Wilson Co. (office supplies and equipment),514 W. Central Ave.,1961,"28.54160440068553, -81.38552618989988"
Bill Champion's Bar & Liquor Store,515 W. Central Ave.,1961,"28.542241125537167, -81.38552166106486"
Curry's Temporary Service,541 W. Central Ave.,1961,"28.54242320061529, -81.3867554629651"
Central Store Equipment,543 W. Central Ave.,1961,"28.542404950830708, -81.38680926296513"
Curry's Bookkeeping Service,544 W. Central Ave.,1961,"28.541599400689428, -81.38667316296515"
Curry's Offset Press,544 W. Central Ave.,1961,"28.541599400689428, -81.38667316296515"
Electric Construction Co. Inc.,600 W. Central Ave.,1961,"28.54189385078531, -81.3871058629651"
Pittsburgh Plate Glass Co.,617 W. Central Ave.,1961,"28.542292850820704, -81.38768953412993"
Orlando Muffler Clinic,618 W. Central Ave.,1961,"28.541722550769986, -81.38784573412995"
Corbin S. West's Seat Covers,624 W. Central Ave.,1961,"28.541760250579895, -81.38804200529472"
Mid Florida Television Corp.,639 W. Central Ave.,1961,"28.54223675081573, -81.38832236296513"
WLOF-Television (Mid Florida Television Corp),639 W. Central Ave.,1961,"28.54223675081573, -81.38832236296513"
Orange Soda Shop,641 W. Central Ave.,1961,"28.542196550812186, -81.38825364947077"
Osceola Equipment Service,643 W. Central Ave.,1961,"28.542234250452406, -81.38827072063553"
Electrical Appliance Repair Center,647 W. Central Ave.,1961,"28.542201387544463, -81.38831568650562"
Douglas E. Root Jr. (car dealer),666 W. Central Ave.,1961,"28.541778825623563, -81.38882473412995"
Scotty's Friendly Corner,701 W. Central Ave.,1961,"28.54227855081938, -81.38927973412991"
International Harvestor Co.,714 W. Central Ave.,1961,"28.54149635074988, -81.38954380529472"
L & M Builders Supplies Inc.,777 W. Central Ave.,1961,"28.542894600572815, -81.39040986296509"
Central Florida Plating Co. (electric),800 W. Central Ave.,1961,"28.541780675723746, -81.39067506296514"
Atlas Masonry Inc.,809 W. Central Ave.,1961,"28.542289900627235, -81.39095846296512"
R. M. Thompson (furnished rooms),817 W. Central Ave.,1961,"28.542097149901604, -81.39122386296516"
Sidewalk Cafe,817 W. Central Ave.,1961,"28.542097149901604, -81.39122386296516"
Goddard orlando Inc. (radio and television sets and supplies),831 W. Central Ave.,1961,"28.542475800610593, -81.39182956296507"
H. H. Furginson Printers Supplies,904 W. Central Ave.,1961,"28.541851000666718, -81.3922262341299"
Harold C. Henderson (store fixtures and fittings),906 W. Central Ave.,1961,"28.54178200067291, -81.39233909180038"
Par Electric Inc.,908 W. Central Ave.,1961,"28.541855050781766, -81.39225386296516"
Auto Wholesalers,909 W. Central Ave.,1961,"28.54225412553834, -81.39238360529471"
Your Cafe,912 W. Central Ave.,1961,"28.54190880066158, -81.39249369180034"
Paul Sbordone (furnished rooms),912 1/2 W. Central Ave.,1961,"28.54190880066158, -81.39249369180034"
Paul's Coin Operated Wash,914 W. Central Ave.,1961,"28.54184910066691, -81.39251019180035"
Ned Smith Battery & Equipment Co.,916 W. Central Ave.,1961,"28.541849000666993, -81.39255847830604"
Willard's (washing machine sales and service),917 W. Central Ave.,1961,"28.54224885081684, -81.39275403412988"
Florida Oxygen Service Inc.,1007 W. Central Ave.,1961,"28.542170825897113, -81.39355226296513"
Auto Machine & Parts Co.,1009 W. Central Ave.,1961,"28.542082549915964, -81.39377650714121"
Ward Engineering Co. Inc.,1015 W. Central Ave.,1961,"28.542196025548748, -81.39406756296516"
City Motor Exchange,1215 W. Central Ave.,1961,"28.542224900633137, -81.39644013412992"
Oliver Farm Equipment & Tractors,1216 W. Central Ave.,1961,"28.541801400671243, -81.39610833412992"
Ramsey's Gulf Service,1240 W. Central Ave.,1961,"28.541526150752603, -81.39666432063557"
Barq's Bottling Co. of Orlando&comma; Inc.,1310 W. Central Ave.,1961,"28.541669175723907, -81.39782486296514"
Burke's Sewage Disposal,1719 W. Central Ave.,1961,"28.543074550226365, -81.40383626296509"
Jerome S. Dunn Jr. (plastering),2028 W. Central Ave.,1961,"28.541711200679337, -81.40683553412995"
Wm A. Lockler (Baptist clergyman),2035 W. Central Ave.,1961,"28.542132600641406, -81.40681416296515"
Hall Wholesale Florists Supply Inc.,2101 W. Central Ave.,1961,"28.542094200338624, -81.40786923412992"
Wiseman Baking Co. Inc.,2111 W. Central Ave.,1961,"28.542055200648388, -81.40812806296516"
Lambert Corp. of Florida,2125 W. Central Ave.,1961,"28.542494800608786, -81.40895520529467"
Iron Workers Local 397,2130 W. Central Ave.,1961,"28.541596750623786, -81.40906363412994"
Painters Local No. 1010,2130 W. Central Ave.,1961,"28.541596750623786, -81.40906363412994"
R. J. Herthneck & Co.,2139 W. Central Ave.,1961,"28.542475950836973, -81.4089766629651"
Ortronix Inc.,2143 W. Central Ave.,1961,"28.542087525568302, -81.40944397830597"
Modern Counter Craft Co.,2143 W. Central Ave.,1961,"28.542087525568302, -81.40944397830597"
Harry T. P'Pool (attorney),23 W. Church,1961,"28.540436327655552, -81.37953662653074"
Southern Music,42 W. Church,1961,"28.540168767302717, -81.37980578248566"
Silber's Surplus Store,50 W. Church,1961,"28.54023415376487, -81.38025967452666"
Modern Trade & Loan Co.,52 W. Church,1961,"28.54004334869309, -81.3800608088696"
Behr's Shoe Center,53 W. Church,1961,"28.540467736956064, -81.38014120886959"
Weaver Apartments,54 W. Church,1961,"28.54003625518661, -81.38009393770463"
Big Value Shoe Store,56 W. Church,1961,"28.540232738291937, -81.38030621644717"
The Shoe Craftsman,58 W. Church,1961,"28.54022672966686, -81.38046232173978"
Time Finance Service Inc. of Orange County,62 W. Church ,1961,"28.540269516802454, -81.38056860027689"
The Record Mart,66 W. Church,1961,"28.54027864188607, -81.3806407088696"
Knollenberg's Motor Transfer Co.,76 W. Church,1961,"28.540200284919212, -81.3806469978258"
Easyway Finance Co.,127 W. Church,1961,"28.540512098482587, -81.3813677646944"
Goodwill Industries of Central Florida,129 W. Church,1961,"28.54044148594837, -81.3814848002769"
Orlando Hotel,135 W. Church,1961,"28.540484585950292, -81.38152288248563"
Darnell's New & Used Clothing,314 W. Church,1961,"28.540058154758395, -81.38310825794697"
Mackoy's Antiques,316 W. Church,1961,"28.540058254758417, -81.38310914690315"
Mackoy's Pawn Shop,322 W. Church,1961,"28.5400514859309, -81.3831440002769"
V & B Jewelers,323 W. Church,1961,"28.540336313383904, -81.38323681084783"
City Sundries,327 W. Church,1961,"28.54033359463093, -81.38325928062383"
Mackoy's Barper Shop,328 W. Church,1961,"28.54005404220679, -81.38319226469439"
Perry's Bargain House,329 W. Church,1961,"28.540336142213093, -81.3832739646944"
Mom's Place,331 W. Church,1961,"28.54033624221309, -81.38328268248569"
Mackoy's Second Hand Store,332 W. Church,1961,"28.54005424220681, -81.38322354690315"
Hanna's Gift Shops,333 W. Church,1961,"28.540310285942486, -81.38332676469444"
Gale's Clothing Store,337 W. Church,1961,"28.540336442213114, -81.38332761132067"
Ward Furniture Co. Inc.,344 W. Church,1961,"28.540050129655032, -81.38331481132066"
Jewel Drug,409 W. Church,1961,"28.540347392061104, -81.3841524199134"
Biddy's Shoe Repair,413 W. Church,1961,"28.54033745475216, -81.3842579646944"
Lewis Super Market,417 W. Church,1961,"28.540310198482626, -81.38435608248564"
Bargain Barn,432 W. Church,1961,"28.539985742205282, -81.38468908248565"
Farm & Home Feed Store,433 W. Church,1961,"28.540312998482616, -81.38472258248564"
Bargain Store,434 W. Church,1961,"28.5399904547599, -81.38469538248566"
Fred Hage (furnished rooms),434 1/2 W. Church,1961,"28.5399904547599, -81.38469538248566"
Bruner Candy Co.,440 W. Church,1961,"28.539985742205253, -81.38471676469442"
Al's Army Store&comma; Inc.,444 W. Church,1961,"28.5399904547599, -81.38472936469441"
DeWitt's Used Furniture,447 W. Church,1961,"28.540281198482614, -81.38473254690315"
George's Cafe,500 W. Church,1961,"28.540104897718592, -81.38501175549587"
C. R. Smith Radio & TV Repairs,519 W. Church,1961,"28.540282642211878, -81.38543920027688"
Melody Record Shop,526 W. Church,1961,"28.53998886731475, -81.38548036469442"
Jehovah's Witnesses Kingdom Hall,532 W. Church,1961,"28.540081998482567, -81.38555461130177"
House of Sterling,534 W. Church,1961,"28.5399916547599, -81.38561018248565"
Miller's Pool Room,542 W. Church,1961,"28.539913, -81.385788"
Renae's Grill,546 W. Church,1961,"28.539928679876592, -81.38600120027688"
Hunter's Nick Nack,547 W. Church,1961,"28.54028505475334, -81.38568034690316"
Bowden's Beautiette,553 W. Church,1961,"28.54029653610616, -81.38579244874846"
Stephen Clothing Store,562 W. Church,1961,"28.539907523599595, -81.3861398646944"
Woods' Studio (photographer),568 W. Church,1961,"28.53987474220278, -81.38630876469442"
The Deep Fry,570 W. Church,1961,"28.53988660084015, -81.38635216106485"
Sophisticate Club,573 W. Church,1961,"28.540322655496144, -81.38621169073011"
Thrifty Laundry,578 W. Church,1961,"28.539884568812237, -81.3864830009476"
Mrs. Annie S. Telfair (furnished rooms),616 W. Church,1961,"28.539818754763814, -81.3876128646944"
Firestone Dealer Supply,625 W. Church,1961,"28.540868554740292, -81.38801518248563"
Webb's Chiropractic Center,642 W. Church,1961,"28.54000641903844, -81.38875866536507"
D&D Service Station,645 W. Church,1961,"28.540640693930307, -81.38818296536512"
Ernie's Market,700 W. Church,1961,"28.53994351904419, -81.38936530094753"
Lambert School of Music (piano),701 W. Church #5,1961,"28.540627918982818, -81.38937570094757"
Mitchell's Studio (photographer),701 W. Church #6,1961,"28.540627918982818, -81.38937570094757"
Marie D. Price (real estate),701 W. Church #8,1961,"28.540627918982818, -81.38937570094757"
Roy L. Mixon (furnished rooms),702 W. Church,1961,"28.539892493930356, -81.3893929653651"
Roy's Furniture & Television,703 W. Church,1961,"28.54046748594949, -81.3894341002769"
H D & S Coin Operated Laundry,704 W. Church,1961,"28.53988974220312, -81.38945338248564"
NuWay Carpets of Florida Inc.,709 W. Church,1961,"28.54046864221602, -81.3896182646944"
Locke Well & Pump Co.,712 W. Church,1961,"28.540005911036584, -81.38971416469442"
Auto Supply,727 W. Church,1961,"28.540297185941878, -81.39013318248564"
Shiners Barber Shop,731 W. Church,1961,"28.54030365475294, -81.39028906469439"
Ace Furniture Co.,733 W. Church,1961,"28.540303454752944, -81.39036298248563"
State Laundry & Cleaners,734 W. Church,1961,"28.53969155476665, -81.39047406469442"
Howard Fuel Oil Co.,741 W. Church,1961,"28.5403106422126, -81.39080563585935"
Orlando Poultry Co.,744 W. Church,1961,"28.540081135343943, -81.39058871132067"
International Hod Carriers & Common Laborers Local No. 517,808 W. Church,1961,"28.539849281369595, -81.39155872978262"
Gilbert Supply Co. Inc.,814 W. Church,1961,"28.539855881369963, -81.3917754653651"
Automotive Paint & Body Works,923 W. Church,1961,"28.54034525475199, -81.39269944690315"
One Thousand West Church Inc. (household appliance dealer),1000 W. Church,1961,"28.540061035332243, -81.3932236199134"
Ruth & Rudy's Restaurant,1001 W. Church,1961,"28.54019534296154, -81.39322630212219"
P & M Supply Inc.,1003 W. Church,1961,"28.54040465475064, -81.39328204445209"
Precision Automotive,1008 W. Church,1961,"28.539874585923023, -81.39349058248565"
Ray's Paint & Body Shop,1013 W. Church,1961,"28.54040671596198, -81.39357566577056"
Thurmond Sewell Furniture Co.,1015 W. Church,1961,"28.540381943649923, -81.39380891190096"
Mrs. Agnes A. Sapp (dressmaker),1112 W. Church,1961,"28.54007575588495, -81.39478514327749"
Johnny Gentile's Pawn Shop,1122 W. Church St.,1961,"28.53989073160842, -81.39523236536505"
Quality Uniform Service Inc.,1124 W. Church,1961,"28.540031781377706, -81.39544930094758"
Ajax Plumbing Supplu,1131 W. Church,1961,"28.540343681391693, -81.39541089420013"
Ajax Used Furniture,1133 W. Church,1961,"28.54035320646881, -81.39541672978257"
Tiller's Garage,1220 W. Church,1961,"28.53996713159817, -81.39643476536507"
Hopkins Oil Co.,1237 W. Church,1961,"28.540362606468385, -81.39694186536508"
Great South Supply Co. Inc. (plumbing supplies),1331 W. Church,1961,"28.54029704409545, -81.39852079420011"
Sea Scouts of Orlando,1403 W. Church,1961,"28.54109041894141, -81.40035009420012"
Boy Scouts of America Troop No. 30,1407 W. Church,1961,"28.541076525746135, -81.39944630339478"
Bloodworth Transfer & Storage Co.,1500 W. Church,1961,"28.539762776246054, -81.40070186106486"
American Red Ball Transit Co. Inc.,1500 W. Church,1961,"28.539762776246054, -81.40070186106486"
Orlando Advent Christian Church,2019 W. Church,1961,"28.540379825574213, -81.40630510339473"
Marie's Beauty Salon,2134 W. Church,1961,"28.539877451082834, -81.40907108989995"
Orange Plumbing & Heating Co.,2141 W. Church,1961,"28.540641300772077, -81.40927823222988"
Orlando Cabinet Shop,2200 W. Church,1961,"28.54002805658272, -81.4095795855113"
D & D Trading Co. (sign painters and manufacturers),2205 W. Church,1961,"28.540286898482595, -81.4099054199134"
Sunshine Tavern,2206 W. Church,1961,"28.540003516270172, -81.40984839231788"
Jack's Barber Shop,2216 W. Church,1961,"28.5400128413776, -81.4098729279004"
Joe Brigmond Spar Service Station,2293 W. Church,1961,"28.540304954752884, -81.41139898248564"
Nettles Grocery,2296 W. Church,1961,"28.539899498482626, -81.41092318248566"
Acme Auto Service,2301 W. Church,1961,"28.540301290808394, -81.41144349221291"
G. LaBella Repair Shop,2310 W. Church,1961,"28.539862180308234, -81.41158438150362"
Albello's Cleaners,2392 W. Church,1961,"28.539865076209402, -81.41265916106487"
Love's Grocery,2404 W. Church,1961,"28.54000360040124, -81.4128142033948"
Taylor's Service Station & Garage,2406 W. Church,1961,"28.53966882599882, -81.41293503222987"
Paul M. Moore (landscape gardener),2413 W. Church,1961,"28.540309750640834, -81.41266213222984"
Moreman's Laundry & Cleaners,39 W. Colonial Dr.,1961,"28.55342934743733, -81.38004847455944"
Wilkins Awning Co.,110 W. Colonial Dr.,1961,"28.55271554762921, -81.38132381873461"
Reed Motors Inc.,124 W. Colonial Dr.,1961,"28.55305932359507, -81.38139430339449"
Colonial Pure Oil,205 W. Colonial Dr.,1961,"28.55317915675596, -81.38242743785835"
Ford Apartments,215 W. Colonial Dr.,1961,"28.55318231785763, -81.38253052978253"
The Wilson Realty,307 W. Colonial Dr.,1961,"28.553563130810563, -81.38392258578732"
Cath Cain Hospitality Advertising,325 W. Colonial Dr. apt 320,1961,"28.553544184830074, -81.38409461775888"
Richd T. Cain (vitamin products),325 W. Colonial Dr. apt 320,1961,"28.553544184830074, -81.38409461775888"
Steele Insurance Agency,418 W. Colonial Dr.,1961,"28.552937042494566, -81.38497086469437"
V. H. Rexroat Realtor,418 W. Colonial Dr.,1961,"28.552937042494566, -81.38497086469437"
Hender Chiropractic Clinic,429 W. Colonial Dr.,1961,"28.55325916642374, -81.38582856469438"
Lake Dot Guest Home,509 W. Colonial Dr.,1961,"28.553197454464062, -81.38657648248562"
A A Z Z Mortgage Service,513 W. Colonial Dr.,1961,"28.553281142502236, -81.38689590027688"
Thomas Bemis Jr. (realtor),513 W. Colonial Dr. #1,1961,"28.553281142502236, -81.38689590027688"
Seven Eleven Dairy Store,513 W. Colonial Dr. #2,1961,"28.553281142502236, -81.38689590027688"
Orlando Board of Realtors,513 W. Colonial Dr. #4,1961,"28.553281142502236, -81.38689590027688"
